Bulan,,,,
,Posisi Dana Pinjaman Masyarakat pada Bank Umum dan BPR Kota Samarinda (Juta Rupiah),,,
,Modal Kerja,Investasi,Konsumsi,<b>Jumlah </b>
,2024,2024,2024,2024
Januari,14619211.91,11000423.01,8615281.37,34234916.29
Februari,15011089.45,11052507.98,8651035.11,34714632.55
Maret,14702495.79,11077321.62,8784426.46,34564243.87
April,14657636.77,10896120.41,8847074.47,34400831.65
Mei,14450689.36,11137948.59,8898106.36,34486744.32
Juni,14519868.58,10762644.08,9002172.61,34284685.27
Juli,14733583.09,10709509.99,9092273.54,34535332
Agustus,14993204.93,10805135.84,9158654.47,34956986
September,15199601.69,11069092.73,9406238.31,35674913
Oktober,15609968.88,10923344.74,9510806.5,36044112
November,15625902.68,11224777.53,9601231.62,36451913
Desember,15852664.76,11141802.84,9690168.42,36684639