Bulan,,,
,Posisi Kredit UMKM yang diberikan Bank Umum dan BPR menurut Jenis Penggunaan di Kota Samarinda (Juta Rupiah),,
,Modal Kerja,Investasi,<b>Jumlah</b>
,2024,2024,2024
Januari,4735403.48,2614028.57,7349432.05
Februari,4614540.82,2662356.32,7276897.14
Maret,4605365.2,2680970.31,7286335.51
April,4607486.65,2618237.12,7225723.77
Mei,4577794.07,2603311.8,7181105.87
Juni,4601997.87,2618888.3,7220886.16
Juli,4725741.5,2645778.14,7371519.65
Agustus,4827031.31,2645222.02,7472253.33
September,4984547.4,2842072.6,7826620.01
Oktober,4973599.47,2853536.29,7827135.76
November,4941010.01,2941016.99,7882027
Desember,4911958.21,3099764.21,8011722.42